PATH,from,to,source,status,lineColor
a,grid,gridMeter,grid_pwr,active,blue
a,gridMeter,building,grid_pwr,active,red
a,gridMeter,inverter,grid_pwr,inactive,red
a,inverter,battery,grid_pwr,inactive,red
a,inverter,battery,solar_pwr,inactive,yellow
a,inverter,building,solar_pwr,inactive,yellow
a,inverter,building,battery_pwr,inactive,green
a,solar,inverter,solar_pwr,inactive,yellow
a,battery,inverter,battery_pwr,inactive,green
a,inverter,gridMeter,solar_pwr,inactive,yellow
a,gridMeter,grid,solar_pwr,inactive,yellow
b,grid,gridMeter,grid_pwr,inactive,red
b,gridMeter,building,grid_pwr,inactive,red
b,gridMeter,inverter,grid_pwr,inactive,red
b,inverter,battery,grid_pwr,inactive,red
b,inverter,battery,solar_pwr,inactive,yellow
b,inverter,building,solar_pwr,inactive,yellow
b,inverter,building,battery_pwr,active,green
b,solar,inverter,solar_pwr,inactive,yellow
b,battery,inverter,battery_pwr,active,green
b,inverter,gridMeter,solar_pwr,inactive,yellow
b,gridMeter,grid,solar_pwr,inactive,yellow
c,grid,gridMeter,grid_pwr,active,red
c,gridMeter,building,grid_pwr,active,red
c,gridMeter,inverter,grid_pwr,active,red
c,inverter,battery,grid_pwr,active,red
c,inverter,battery,solar_pwr,inactive,yellow
c,inverter,building,solar_pwr,inactive,yellow
c,inverter,building,battery_pwr,inactive,green
c,solar,inverter,solar_pwr,inactive,yellow
c,battery,inverter,battery_pwr,inactive,green
c,inverter,gridMeter,solar_pwr,inactive,yellow
c,gridMeter,grid,solar_pwr,inactive,yellow
d,grid,gridMeter,grid_pwr,active,red
d,gridMeter,building,grid_pwr,active,red
d,gridMeter,inverter,grid_pwr,inactive,red
d,inverter,battery,grid_pwr,inactive,red
d,inverter,battery,solar_pwr,inactive,yellow
d,inverter,building,solar_pwr,active,yellow
d,inverter,building,battery_pwr,inactive,green
d,solar,inverter,solar_pwr,active,yellow
d,battery,inverter,battery_pwr,inactive,green
d,inverter,gridMeter,solar_pwr,inactive,yellow
d,gridMeter,grid,solar_pwr,inactive,yellow
e,grid,gridMeter,grid_pwr,inactive,red
e,gridMeter,building,grid_pwr,inactive,red
e,gridMeter,inverter,grid_pwr,inactive,red
e,inverter,battery,grid_pwr,inactive,red
e,inverter,battery,solar_pwr,inactive,yellow
e,inverter,building,solar_pwr,active,yellow
e,inverter,building,battery_pwr,inactive,green
e,solar,inverter,solar_pwr,active,yellow
e,battery,inverter,battery_pwr,inactive,green
e,inverter,gridMeter,solar_pwr,active,yellow
e,gridMeter,grid,solar_pwr,active,yellow
f,grid,gridMeter,grid_pwr,inactive,red
f,gridMeter,building,grid_pwr,inactive,red
f,gridMeter,inverter,grid_pwr,inactive,red
f,inverter,battery,grid_pwr,inactive,red
f,inverter,battery,solar_pwr,active,yellow
f,inverter,building,solar_pwr,active,yellow
f,inverter,building,battery_pwr,inactive,green
f,solar,inverter,solar_pwr,active,yellow
f,battery,inverter,battery_pwr,inactive,green
f,inverter,gridMeter,solar_pwr,inactive,yellow
f,gridMeter,grid,solar_pwr,inactive,yellow
g,grid,gridMeter,grid_pwr,inactive,red
g,gridMeter,building,grid_pwr,inactive,red
g,gridMeter,inverter,grid_pwr,inactive,red
g,inverter,battery,grid_pwr,inactive,red
g,inverter,battery,solar_pwr,inactive,yellow
g,inverter,building,solar_pwr,active,yellow
g,inverter,building,battery_pwr,active,green
g,solar,inverter,solar_pwr,active,yellow
g,battery,inverter,battery_pwr,active,green
g,inverter,gridMeter,solar_pwr,inactive,yellow
g,gridMeter,grid,solar_pwr,inactive,yellow
